sensor_index,last_seen,name,location_type,latitude,longitude,last_seen_utc,age_days,active_30d,active_7d,province
4327,1790212248,Didsbury,0,51.667637,-114.12493,2026-09-24 01:10:48+00:00,0.0008814174768518518,True,True,AB
267739,1790212199,Twintree,0,50.934338,-114.03835,2026-09-24 01:09:59+00:00,0.0014485471064814815,True,True,AB
7208,1790019652,FAP-Redwater,0,53.951702,-113.10582,2026-09-21 19:40:52+00:00,2.2300017878472222,True,True,AB
269406,1790212290,Calling lake recreational center,0,55.23663,-113.196785,2026-09-24 01:11:30+00:00,0.0003953063657407408,True,True,AB
269504,1790212197,Leduc Meadowview,0,53.2458,-113.52495,2026-09-24 01:09:57+00:00,0.0014716952546296297,True,True,AB
276296,1790212218,Foggy Mountain Farm,0,58.444336,-116.1405,2026-09-24 01:10:18+00:00,0.0012286396990740741,True,True,AB
276354,1790212224,Nipisi Terminal,0,55.90808,-115.14166,2026-09-24 01:10:24+00:00,0.0011591952546296297,True,True,AB
277939,1790212203,Goldbar,0,53.552742,-113.42643,2026-09-24 01:10:03+00:00,0.0014022508101851853,True,True,AB
278167,1790212300,Norbo,0,52.683586,-112.52988,2026-09-24 01:11:40+00:00,0.000279565625,True,True,AB
278779,1790212210,Sharp Hills Wind Farm,0,51.678337,-110.66584,2026-09-24 01:10:10+00:00,0.0013212322916666666,True,True,AB
278891,1790212250,RE/MAX Field,0,53.532146,-113.49596,2026-09-24 01:10:50+00:00,0.0008582693287037037,True,True,AB
278917,1790212215,MacEwan Calgary,0,51.131187,-114.11456,2026-09-24 01:10:15+00:00,0.0012633619212962964,True,True,AB
280178,1790212300,Air Sniffer,0,51.073933,-114.21235,2026-09-24 01:11:40+00:00,0.000279565625,True,True,AB
280540,1790212263,Ranchridge Court Calgary,0,51.12379,-114.18642,2026-09-24 01:11:03+00:00,0.0007078063657407408,True,True,AB
24481,1790212242,AQSU-5226,0,53.528072,-113.41634,2026-09-24 01:10:42+00:00,0.0009508619212962963,True,True,AB
24491,1790212249,AQSU-D34F,0,53.53523,-113.446594,2026-09-24 01:10:49+00:00,0.0008698434027777778,True,True,AB
24513,1790212182,AQSU-D341,0,53.532578,-113.43812,2026-09-24 01:09:42+00:00,0.0016453063657407409,True,True,AB
288250,1790212223,TLFN,0,56.499516,-114.55182,2026-09-24 01:10:23+00:00,0.0011707693287037037,True,True,AB
26503,1790212257,ACA_South Cooking Lake,0,53.415577,-113.1269,2026-09-24 01:10:57+00:00,0.0007772508101851853,True,True,AB
288704,1790212235,HAMP-Brookville,0,53.570873,-112.99915,2026-09-24 01:10:35+00:00,0.0010318804398148148,True,True,AB
288716,1790212264,HAMP-SCHS,0,53.716873,-113.48547,2026-09-24 01:11:04+00:00,0.0006962322916666667,True,True,AB
288726,1790212209,HAMP-Partridge Hill,0,53.658012,-113.098946,2026-09-24 01:10:09+00:00,0.0013328063657407408,True,True,AB
26633,1790212252,ACA_Campbell Park,0,53.555477,-113.28192,2026-09-24 01:10:52+00:00,0.0008351211805555556,True,True,AB
26681,1790212214,ACA_Hansen Estates,0,53.41918,-113.22016,2026-09-24 01:10:14+00:00,0.0012749359953703704,True,True,AB
289126,1790212291,6183,0,51.079002,-115.32181,2026-09-24 01:11:31+00:00,0.0003837322916666667,True,True,AB
27475,1790212295,Town of Castor,0,52.219707,-111.90631,2026-09-24 01:11:35+00:00,0.00033743599537037035,True,True,AB
27659,1790212298,ACA_CloverdaleCL,0,53.535645,-113.47194,2026-09-24 01:11:38+00:00,0.0003027137731481481,True,True,AB
27707,1790212225,ACA_Woodcroft,0,53.564735,-113.56231,2026-09-24 01:10:25+00:00,0.0011476211805555557,True,True,AB
27709,1790212251,ACA_Lions Park,0,53.629276,-113.63121,2026-09-24 01:10:51+00:00,0.0008466952546296296,True,True,AB
289866,1790212221,Banff Warden Compound,0,51.191696,-115.55949,2026-09-24 01:10:21+00:00,0.001193917476851852,True,True,AB
28587,1790212151,ACA_Jamieson Park,0,53.491158,-113.65097,2026-09-24 01:09:11+00:00,0.002004102662037037,True,True,AB
28617,1790212252,ACA_Spruce Grove Fire Services,0,53.545223,-113.899765,2026-09-24 01:10:52+00:00,0.0008351211805555556,True,True,AB
29211,1790212201,ACA_LendrumAQMS,0,53.497707,-113.527115,2026-09-24 01:10:01+00:00,0.0014253989583333333,True,True,AB
29663,1790212221,Fort Vermillion County Office,0,58.38633,-116.00532,2026-09-24 01:10:21+00:00,0.001193917476851852,True,True,AB
33111,1790211815,PRAMP - Three Creeks,0,56.367107,-116.92315,2026-09-24 01:03:35+00:00,0.005892991550925926,True,True,AB
33137,1790212263,PRAMP - Nampa,0,56.04157,-117.13135,2026-09-24 01:11:03+00:00,0.0007078063657407408,True,True,AB
33141,1790212300,PRAMP - Peace River (above valley),0,56.229584,-117.32788,2026-09-24 01:11:40+00:00,0.000279565625,True,True,AB
295535,1790212299,Meadowbrook,0,51.274,-113.983,2026-09-24 01:11:39+00:00,0.00029113969907407407,True,True,AB
298063,1790212236,Fireside,0,51.15669,-114.47526,2026-09-24 01:10:36+00:00,0.0010203063657407408,True,True,AB
37199,1790212190,Wapiti,0,51.090633,-115.33135,2026-09-24 01:09:50+00:00,0.0015527137731481482,True,True,AB
299447,1790212121,Evanston,0,51.181713,-114.109634,2026-09-24 01:08:41+00:00,0.0023513248842592593,True,True,AB
38449,1790212298,PAS_Crescent Heights,0,50.0488,-110.68129,2026-09-24 01:11:38+00:00,0.0003027137731481481,True,True,AB
38527,1790212251,PAS_Oyen,0,51.353207,-110.4846,2026-09-24 01:10:51+00:00,0.0008466952546296296,True,True,AB
302552,1790212242,AQSU-C9F9 Waterton Park,0,49.06504,-113.90415,2026-09-24 01:10:42+00:00,0.0009508619212962963,True,True,AB
308756,1790212242,Poplar Hill,0,55.338852,-119.21845,2026-09-24 01:10:42+00:00,0.0009508619212962963,True,True,AB
309766,1790212238,Alberta Parks - Lakeland,0,54.761448,-111.89162,2026-09-24 01:10:38+00:00,0.0009971582175925925,True,True,AB
309986,1790212240,Jasper SkyTram Upper Terminal,0,52.835342,-118.12627,2026-09-24 01:10:40+00:00,0.0009740100694444445,True,True,AB
310579,1789686387,Dinosaur Provincial Park,0,50.76113,-111.52373,2026-09-17 23:06:27+00:00,6.087235584143518,True,True,AB
48675,1790212196,LICA - University nuhelot’įne thaiyots’į nistameyimâkanak Blue Quills,0,54.00074,-111.371155,2026-09-24 01:09:56+00:00,0.0014832693287037037,True,True,AB
310819,1790212269,AE-1060,0,50.970722,-114.004234,2026-09-24 01:11:09+00:00,0.0006383619212962964,True,True,AB
48843,1790212266,LICA - Bonnyville,0,54.264797,-110.73975,2026-09-24 01:11:06+00:00,0.0006730841435185186,True,True,AB
49533,1790212240,AQSU-A568,0,50.124706,-113.10632,2026-09-24 01:10:40+00:00,0.0009740100694444445,True,True,AB
49803,1790212266,AQSU-850B,0,51.285793,-114.8044,2026-09-24 01:11:06+00:00,0.0006730841435185186,True,True,AB
49843,1790212181,WCAS_Breton,0,53.065487,-114.453995,2026-09-24 01:09:41+00:00,0.0016568804398148149,True,True,AB
49851,1790212240,AQSU-CD29,0,51.255703,-114.07773,2026-09-24 01:10:40+00:00,0.0009740100694444445,True,True,AB
49865,1790212232,AQSU-5B1E,0,53.529392,-113.41781,2026-09-24 01:10:32+00:00,0.001066602662037037,True,True,AB
52583,1790212204,ACA_RAC,0,53.48924,-113.45945,2026-09-24 01:10:04+00:00,0.001390676736111111,True,True,AB
314867,1790212228,1ff1_AC,0,49.48177,-113.9543,2026-09-24 01:10:28+00:00,0.0011128989583333334,True,True,AB
52797,1790212289,ACA_QueenAlexandraPark,0,53.509693,-113.5083,2026-09-24 01:11:29+00:00,0.00040688043981481486,True,True,AB
52941,1790212187,ACA_CD Nova,0,53.5675,-113.31479,2026-09-24 01:09:47+00:00,0.0015874359953703704,True,True,AB
