lon,lat,PM25_IDW,NearestReading
-114.05269820228591,49.046739964219576,5.603443297807809,2025-06-16 10:00:00-06:00
-114.00269820228591,49.046739964219576,5.577883165756951,2025-06-16 10:00:00-06:00
-113.95269820228592,49.046739964219576,5.551064263465391,2025-06-16 10:00:00-06:00
-113.90269820228592,49.046739964219576,5.522986410022323,2025-06-16 10:00:00-06:00
-113.85269820228592,49.046739964219576,5.493663210590899,2025-06-16 10:00:00-06:00
-113.80269820228592,49.046739964219576,5.463123694009555,2025-06-16 10:00:00-06:00
-113.75269820228593,49.046739964219576,5.431413526440322,2025-06-16 10:00:00-06:00
-113.70269820228593,49.046739964219576,5.398595593527595,2025-06-16 10:00:00-06:00
-113.65269820228593,49.046739964219576,5.364749735261552,2025-06-16 10:00:00-06:00
-113.60269820228594,49.046739964219576,5.329971434285475,2025-06-16 10:00:00-06:00
-113.55269820228594,49.046739964219576,5.294369311480974,2025-06-16 10:00:00-06:00
-113.50269820228594,49.046739964219576,5.258061386244879,2025-06-16 10:00:00-06:00
-113.45269820228594,49.046739964219576,5.221170228838337,2025-06-16 10:00:00-06:00
-113.40269820228595,49.046739964219576,5.3043364208761234,2025-06-16 10:00:00-06:00
-113.35269820228595,49.046739964219576,5.2671139507191675,2025-06-16 10:00:00-06:00
-113.30269820228595,49.046739964219576,5.229240214984108,2025-06-16 10:00:00-06:00
-113.25269820228596,49.046739964219576,5.190807597326891,2025-06-16 10:00:00-06:00
-113.20269820228596,49.046739964219576,5.151916770421479,2025-06-16 10:00:00-06:00
-113.15269820228596,49.046739964219576,5.112690562665998,2025-06-16 10:00:00-06:00
-113.10269820228596,49.046739964219576,5.073298737316363,2025-06-16 10:00:00-06:00
-113.05269820228597,49.046739964219576,5.033995959334565,2025-06-16 10:00:00-06:00
-113.00269820228597,49.046739964219576,4.995172493319605,2025-06-16 10:00:00-06:00
-112.95269820228597,49.046739964219576,4.957411634143964,2025-06-16 10:00:00-06:00
-112.90269820228598,49.046739964219576,4.921539559114464,2025-06-16 10:00:00-06:00
-112.85269820228598,49.046739964219576,4.88864459338615,2025-06-16 10:00:00-06:00
-112.80269820228598,49.046739964219576,4.860039519975238,2025-06-16 10:00:00-06:00
-112.75269820228598,49.046739964219576,4.765192713465161,2025-06-16 10:00:00-06:00
-112.70269820228599,49.046739964219576,4.752858118999055,2025-06-16 10:00:00-06:00
-112.65269820228599,49.046739964219576,4.74728653841796,2025-06-16 10:00:00-06:00
-112.60269820228599,49.046739964219576,4.749131800648213,2025-06-16 10:00:00-06:00
-112.552698202286,49.046739964219576,4.758576861967934,2025-06-16 10:00:00-06:00
-112.502698202286,49.046739964219576,4.775353146397265,2025-06-16 10:00:00-06:00
-112.452698202286,49.046739964219576,4.798834454114586,2025-06-16 10:00:00-06:00
-112.402698202286,49.046739964219576,4.828163856345303,2025-06-16 10:00:00-06:00
-112.352698202286,49.046739964219576,4.862374137965679,2025-06-16 10:00:00-06:00
-112.30269820228601,49.046739964219576,4.900478629059021,2025-06-16 10:00:00-06:00
-112.25269820228601,49.046739964219576,4.941526972543984,2025-06-16 10:00:00-06:00
-112.20269820228602,49.046739964219576,4.984631819423656,2025-06-16 10:00:00-06:00
-112.15269820228602,49.046739964219576,4.899021804312303,2025-06-16 10:00:00-06:00
-112.10269820228602,49.046739964219576,4.934011933631578,2025-06-16 10:00:00-06:00
-112.05269820228602,49.046739964219576,4.9686804362262285,2025-06-16 10:00:00-06:00
-112.00269820228603,49.046739964219576,5.002528370947762,2025-06-16 10:00:00-06:00
-111.95269820228603,49.046739964219576,5.035105599395611,2025-06-16 10:00:00-06:00
-111.90269820228603,49.046739964219576,5.0660105801406425,2025-06-16 10:00:00-06:00
-111.85269820228604,49.046739964219576,5.0948917773733085,2025-06-16 10:00:00-06:00
-111.80269820228604,49.046739964219576,5.121449932542202,2025-06-16 10:00:00-06:00
-111.75269820228604,49.046739964219576,5.145440494928449,2025-06-16 10:00:00-06:00
-111.70269820228604,49.046739964219576,5.166675655707899,2025-06-16 10:00:00-06:00
-111.65269820228605,49.046739964219576,5.185025602554749,2025-06-16 10:00:00-06:00
-111.60269820228605,49.046739964219576,5.2004187663637715,2025-06-16 10:00:00-06:00
-111.55269820228605,49.046739964219576,5.212840950389378,2025-06-16 10:00:00-06:00
-111.50269820228606,49.046739964219576,5.222333312498107,2025-06-16 10:00:00-06:00
-111.45269820228606,49.046739964219576,5.228989219765058,2025-06-16 10:00:00-06:00
-111.40269820228606,49.046739964219576,5.232950022186468,2025-06-16 10:00:00-06:00
-111.35269820228606,49.046739964219576,5.234399810763876,2025-06-16 10:00:00-06:00
-111.30269820228607,49.046739964219576,5.233559245132188,2025-06-16 10:00:00-06:00
-111.25269820228607,49.046739964219576,5.230678564492533,2025-06-16 10:00:00-06:00
-111.20269820228607,49.046739964219576,5.226029935699718,2025-06-16 10:00:00-06:00
-111.15269820228608,49.046739964219576,5.219899341948801,2025-06-16 10:00:00-06:00
-111.10269820228608,49.046739964219576,5.212578268209768,2025-06-16 10:00:00-06:00
-111.05269820228608,49.046739964219576,5.204355485871531,2025-06-16 10:00:00-06:00
-111.00269820228608,49.046739964219576,5.195509268401985,2025-06-16 10:00:00-06:00
-110.95269820228609,49.046739964219576,5.18630037299918,2025-06-16 10:00:00-06:00
-110.90269820228609,49.046739964219576,5.1769660946606875,2025-06-16 10:00:00-06:00
-110.85269820228609,49.046739964219576,5.167715638567331,2025-06-16 10:00:00-06:00
-110.8026982022861,49.046739964219576,5.158726969602432,2025-06-16 10:00:00-06:00
