lon,lat,AQHI_IDW,NearestReading
-114.05269820228591,49.046739964219576,1.6695818121054915,2025-11-16 12:00:00-07:00
-114.00269820228591,49.046739964219576,1.6491363691375844,2025-11-16 12:00:00-07:00
-113.95269820228592,49.046739964219576,1.6275882772810772,2025-11-16 12:00:00-07:00
-113.90269820228592,49.046739964219576,1.6049813191509443,2025-11-16 12:00:00-07:00
-113.85269820228592,49.046739964219576,1.6718812266877359,2025-11-16 12:00:00-07:00
-113.80269820228592,49.046739964219576,1.6431094097842625,2025-11-16 12:00:00-07:00
-113.75269820228593,49.046739964219576,1.6135179989646364,2025-11-16 12:00:00-07:00
-113.70269820228593,49.046739964219576,1.583239080504155,2025-11-16 12:00:00-07:00
-113.65269820228593,49.046739964219576,1.5524264802255725,2025-11-16 12:00:00-07:00
-113.60269820228594,49.046739964219576,1.521254591323807,2025-11-16 12:00:00-07:00
-113.55269820228594,49.046739964219576,1.423151287033109,2025-11-16 12:00:00-07:00
-113.50269820228594,49.046739964219576,1.394934840882893,2025-11-16 12:00:00-07:00
-113.45269820228594,49.046739964219576,1.3671683369162957,2025-11-16 12:00:00-07:00
-113.40269820228595,49.046739964219576,1.3400348119754226,2025-11-16 12:00:00-07:00
-113.35269820228595,49.046739964219576,1.3137126010806797,2025-11-16 12:00:00-07:00
-113.30269820228595,49.046739964219576,1.2883708964382383,2025-11-16 12:00:00-07:00
-113.25269820228596,49.046739964219576,1.2641656397288126,2025-11-16 12:00:00-07:00
-113.20269820228596,49.046739964219576,1.24123620582936,2025-11-16 12:00:00-07:00
-113.15269820228596,49.046739964219576,1.2197034259182051,2025-11-16 12:00:00-07:00
-113.10269820228596,49.046739964219576,1.1996695367844348,2025-11-16 12:00:00-07:00
-113.05269820228597,49.046739964219576,1.181220553914158,2025-11-16 12:00:00-07:00
-113.00269820228597,49.046739964219576,1.1644312314047327,2025-11-16 12:00:00-07:00
-112.95269820228597,49.046739964219576,1.149372068310846,2025-11-16 12:00:00-07:00
-112.90269820228598,49.046739964219576,1.1361167252064746,2025-11-16 12:00:00-07:00
-112.85269820228598,49.046739964219576,1.1023268424527541,2025-11-16 12:00:00-07:00
-112.80269820228598,49.046739964219576,1.0944937144714872,2025-11-16 12:00:00-07:00
-112.75269820228598,49.046739964219576,1.088371420169403,2025-11-16 12:00:00-07:00
-112.70269820228599,49.046739964219576,1.08400095235152,2025-11-16 12:00:00-07:00
-112.65269820228599,49.046739964219576,1.0813887330221283,2025-11-16 12:00:00-07:00
-112.60269820228599,49.046739964219576,1.0804909864156917,2025-11-16 12:00:00-07:00
-112.552698202286,49.046739964219576,1.08120652965325,2025-11-16 12:00:00-07:00
-112.502698202286,49.046739964219576,1.0833803185972979,2025-11-16 12:00:00-07:00
-112.452698202286,49.046739964219576,1.0868159066377894,2025-11-16 12:00:00-07:00
-112.402698202286,49.046739964219576,1.0912923391311677,2025-11-16 12:00:00-07:00
-112.352698202286,49.046739964219576,1.0965808731377538,2025-11-16 12:00:00-07:00
-112.30269820228601,49.046739964219576,1.102458513496639,2025-11-16 12:00:00-07:00
-112.25269820228601,49.046739964219576,1.1087173130402093,2025-11-16 12:00:00-07:00
-112.20269820228602,49.046739964219576,1.115169771036151,2025-11-16 12:00:00-07:00
-112.15269820228602,49.046739964219576,1.1216512709478514,2025-11-16 12:00:00-07:00
-112.10269820228602,49.046739964219576,1.1280205460345998,2025-11-16 12:00:00-07:00
-112.05269820228602,49.046739964219576,1.1341589520404147,2025-11-16 12:00:00-07:00
-112.00269820228603,49.046739964219576,1.139969072075801,2025-11-16 12:00:00-07:00
-111.95269820228603,49.046739964219576,1.1453729768166139,2025-11-16 12:00:00-07:00
-111.90269820228603,49.046739964219576,1.1503103338189449,2025-11-16 12:00:00-07:00
-111.85269820228604,49.046739964219576,1.1547364888825038,2025-11-16 12:00:00-07:00
-111.80269820228604,49.046739964219576,1.1586206074613803,2025-11-16 12:00:00-07:00
-111.75269820228604,49.046739964219576,1.161943946074274,2025-11-16 12:00:00-07:00
-111.70269820228604,49.046739964219576,1.1646983101320414,2025-11-16 12:00:00-07:00
-111.65269820228605,49.046739964219576,1.1668847392582173,2025-11-16 12:00:00-07:00
-111.60269820228605,49.046739964219576,1.1685124420212267,2025-11-16 12:00:00-07:00
-111.55269820228605,49.046739964219576,1.1695979796439897,2025-11-16 12:00:00-07:00
-111.50269820228606,49.046739964219576,1.1701646746879453,2025-11-16 12:00:00-07:00
-111.45269820228606,49.046739964219576,1.17024219844357,2025-11-16 12:00:00-07:00
-111.40269820228606,49.046739964219576,1.1698662723641018,2025-11-16 12:00:00-07:00
-111.35269820228606,49.046739964219576,1.169078406663378,2025-11-16 12:00:00-07:00
-111.30269820228607,49.046739964219576,1.1679255949880283,2025-11-16 12:00:00-07:00
-111.25269820228607,49.046739964219576,1.1664598889831506,2025-11-16 12:00:00-07:00
-111.20269820228607,49.046739964219576,1.1647377907661711,2025-11-16 12:00:00-07:00
-111.15269820228608,49.046739964219576,1.1628194238244902,2025-11-16 12:00:00-07:00
-111.10269820228608,49.046739964219576,1.1607674714471357,2025-11-16 12:00:00-07:00
-111.05269820228608,49.046739964219576,1.1586459031723522,2025-11-16 12:00:00-07:00
-111.00269820228608,49.046739964219576,1.1565185398425775,2025-11-16 12:00:00-07:00
-110.95269820228609,49.046739964219576,1.1544475325590569,2025-11-16 12:00:00-07:00
-110.90269820228609,49.046739964219576,1.152491846604227,2025-11-16 12:00:00-07:00
-110.85269820228609,49.046739964219576,1.1507058460504367,2025-11-16 12:00:00-07:00
