sensor_index,name,latitude,longitude,geometry
225861,Riverbend,53.47205,-113.59385,POINT(-113.59385 53.47205)
230593,"Castle Downs, Edmonton",53.60826,-113.54445,POINT(-113.54445 53.60826)
240945,ACA_UITC,53.51731,-113.52458,POINT(-113.52458 53.51731)
242307,S-ED-Bray,53.45557,-113.4962,POINT(-113.4962 53.45557)
244993,ACA_Florian Park,53.519844,-113.25795,POINT(-113.25795 53.519844)
246279,Westmount,53.55592,-113.54853,POINT(-113.54853 53.55592)
249965,ACA_LaurierHeightsCL,53.517063,-113.56859,POINT(-113.56859 53.517063)
249993,ACA_North Cooking Lake Hall,53.468292,-112.96113,POINT(-112.96113 53.468292)
250005,ACA_Hastings Lake Hall,53.381157,-112.90348,POINT(-112.90348 53.381157)
250155,ACA_Strathcona Wilderness Centre,53.532345,-112.998314,POINT(-112.998314 53.532345)
250165,ACA_Antler Lake/Uncas Hall,53.50329,-112.971115,POINT(-112.971115 53.50329)
250171,ACA_Strathcona Olympiette Centre,53.460026,-113.191536,POINT(-113.191536 53.460026)
