community_ab,n_records,mean_diff,max_abs_diff,hours_with_difference,significant_differences
Airdrie,367,-0.005571030640668524,3.0,5,2
Calgary,367,-0.01643835616438356,5.0,8,2
Cold Lake,367,0.019230769230769232,1.0,11,0
Drayton Valley,367,-0.0028011204481792717,2.0,10,1
Edmonton,367,-0.010958904109589041,1.0,8,0
Fort McMurray,367,0.008333333333333333,4.0,39,4
Grande Prairie,367,0.04132231404958678,1.0,33,0
Lethbridge,367,0.07344632768361582,1.0,30,0
Medicine Hat,367,0.019230769230769232,2.0,7,2
Red Deer,367,0.0221606648199446,1.0,12,0
St. Albert,367,0.05763688760806916,1.0,28,0
Strathcona County,367,,,0,0
